# gpu=NVIDIA RTX A4500
# sm=8.6
# nvcc=release 13.0
# nvcc_arch=native
# timestamp=20260821T122914Z
impl,func,rel_err,gelems,cycles
lib,rcp,0.00167721,1425.3181,47.21
cuda_h2,rcp,0.000185774,1431.9569,43.19
f32,rcp,0,1075.6694,81.18
f32_fast,rcp,1.15607e-08,1523.4801,28.20
lib,exp,0.0150499,1469.5862,52.20
cuda_h2,exp,0.000176498,1336.0392,66.20
f32,exp,2.50129e-08,1179.4176,50.18
f32_fast,exp,9.40805e-08,1626.1719,27.27
lib,log,0.0185725,2448.5648,40.20
cuda_h2,log,0.000185049,1282.5917,67.20
f32,log,4.99838e-09,462.8362,92.20
f32_fast,log,7.33864e-08,1660.9695,40.20
lib,log2,0.0184373,2473.1087,36.20
cuda_h2,log2,0.000158494,1611.7327,62.21
f32,log2,4.48748e-09,431.7539,100.19
f32_fast,log2,7.13272e-08,1678.8729,28.20
lib,log10,0.0184421,2449.9439,40.20
cuda_h2,log10,0.000183007,1282.4237,67.20
f32,log10,2.77683e-08,440.3452,100.19
f32_fast,log10,7.28952e-08,1660.8286,40.20
lib,sqrt,0.00103098,2164.3234,44.20
cuda_h2,sqrt,0.000162652,1657.4767,43.19
f32,sqrt,0,1217.2777,62.17
f32_fast,sqrt,1.34156e-08,1676.4762,28.20
lib,rsqrt,0.00102208,2605.8514,40.20
cuda_h2,rsqrt,0.000188899,1659.1627,43.19
f32,rsqrt,2.7113e-08,1667.4548,47.18
f32_fast,rsqrt,2.7113e-08,1676.7156,28.20
lib,sin,0.00632653,761.4882,107.21
cuda_h2,sin,0.000155716,483.5629,82.24
f32,sin,1.35378e-08,515.8615,104.28
f32_fast,sin,1.61673e-06,1623.2052,27.20
lib,cos,0.00723143,754.2307,102.20
cuda_h2,cos,0.000158071,446.5385,84.24
f32,cos,1.72227e-08,492.3635,108.28
f32_fast,cos,2.1222e-06,1624.2378,27.20
lib,asin,0.00905988,1666.1300,31.24
cuda_h2,asin,0.000171198,520.4428,117.20
f32,asin,2.22231e-08,524.2225,98.20
f32_fast,asin,2.22231e-08,528.4567,98.19
lib,acos,0.0218694,1483.0033,34.21
cuda_h2,acos,0.00017911,526.6745,123.20
f32,acos,1.22246e-08,532.3927,110.19
f32_fast,acos,1.22246e-08,491.3891,114.19
